Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
507,Kenny Tete,nl NED,DF,Fulham,28.0,1995.0,22,21,1774,19.7,0,2,2
508,Thiago,br BRA,"FW,MF",Brentford,23.0,2001.0,8,1,175,1.9,0,0,0
509,Luke Thomas,eng ENG,DF,Leicester  City,23.0,2001.0,14,13,1110,12.3,0,0,0
510,Youri Tielemans,be BEL,MF,Aston Villa,27.0,1997.0,36,35,3026,33.6,3,7,10
511,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27.0,1997.0,13,2,259,2.9,1,0,1
512,JurriÃ«n Timber,nl NED,DF,Arsenal,23.0,2001.0,30,27,2417,26.9,1,3,4
513,Jean-Clair Todibo,fr FRA,DF,West Ham,24.0,1999.0,27,20,1825,20.3,0,0,0
514,Harry Toffolo,eng ENG,DF,Nott'ham  Forest,28.0,1995.0,4,1,137,1.5,0,0,0
515,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25.0,1998.0,1,0,7,0.1,0,0,0
516,Sandro Tonali,it ITA,MF,Newcastle  Utd,24.0,2000.0,36,28,2630,29.2,4,2,6
517,Pau Torres,es ESP,DF,Aston Villa,27.0,1997.0,24,23,2020,22.4,0,0,0
518,Conor Townsend,eng ENG,DF,Ipswich Town,31.0,1993.0,6,3,335,3.7,0,1,1
519,Adama TraorÃ©,es ESP,"FW,MF",Fulham,28.0,1996.0,36,18,1772,19.7,2,7,9
520,Boubacar TraorÃ©,ml MLI,MF,Wolves,22.0,2001.0,1,0,1,0.0,0,0,0
521,Mark Travers,ie IRL,GK,Bournemouth,25.0,1999.0,5,5,450,5.0,0,0,0
522,Ryan Trevitt,eng ENG,MF,Brentford,21.0,2003.0,1,0,4,0.0,0,0,0
523,Kieran Trippier,eng ENG,DF,Newcastle  Utd,33.0,1990.0,25,14,1309,14.5,0,3,3
524,Leandro Trossard,be BEL,FW,Arsenal,29.0,1994.0,38,28,2546,28.3,8,7,15
525,Kostas Tsimikas,gr GRE,DF,Liverpool,28.0,1996.0,18,9,837,9.3,0,1,1
